date_added,week,category,show_title,season_title,weekly_rank,cumulative_weeks_in_top_10,weekly_hours_viewed
2022-05-24,2022-05-22,Films (Non-English),The Takedown,null,3,3,0
2022-06-07,2022-06-05,TV (Non-English),Who Killed Sara?,Who Killed Sara?: Season 3,2,3,15570000
2022-06-14,2022-06-12,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",9,26,9680000
2022-05-17,2022-05-15,Films (English),365 Days: This Day,null,7,3,10580000
2022-04-05,2022-04-03,TV (Non-English),Thirty-Nine,Thirty-Nine: Season 1,5,4,13510000
2022-05-24,2022-05-22,TV (English),Ozark,Ozark: Season 4,2,11,0
2022-05-17,2022-05-15,TV (Non-English),42 Days of Darkness,42 Days of Darkness: Season 1,7,1,9920000
2022-05-24,2022-05-22,TV (English),Bling Empire,Bling Empire: Season 2,5,2,0
2022-04-19,2022-04-17,Films (Non-English),In Good Hands,null,8,4,2550000
2022-04-19,2022-04-17,Films (English),How It Ends,null,6,2,8600000
2022-05-17,2022-05-15,TV (English),The Circle,The Circle: Season 4,5,1,14120000
2022-05-03,2022-05-01,Films (English),Shrek,null,10,7,4540000
2022-05-10,2022-05-08,TV (English),Selling Sunset,Selling Sunset: Season 5,4,3,17410000
2022-05-17,2022-05-15,TV (Non-English),Business Proposal,Business Proposal: Season 1,3,10,20160000
2022-06-28,2022-06-26,Films (English),It,null,10,1,8350000
